"","sexo","region","edad","yoprcor","s31_1","s31_2","s31_3","s31_4","s31_5","s31_6","s31_7","area","e6a","o15","s31"
"310",1,7,43,440000,0,0,0,0,0,0,1,1,12,2,7
"311",2,7,36,5e+05,0,0,0,0,0,0,1,1,13,7,7
"312",2,7,50,5e+05,0,0,0,0,0,0,1,1,7,7,7
"313",1,7,43,4e+05,0,0,0,0,0,0,1,1,9,5,7
"314",2,7,37,450000,0,0,0,0,0,0,1,1,11,5,7
"315",1,7,36,550000,0,0,0,0,0,0,1,1,11,5,7
"316",1,7,57,4e+05,0,0,0,0,0,0,1,1,7,5,7
"317",2,7,35,1e+06,0,0,0,0,0,0,1,1,13,4,7
"318",1,7,42,4e+05,0,0,0,0,0,0,1,1,9,2,7
"319",2,7,45,750000,0,0,0,0,0,0,1,1,11,5,7
"320",1,7,48,4e+05,0,0,0,0,0,0,1,1,11,2,7
"321",1,7,33,5e+05,0,0,0,0,0,0,1,1,9,5,7
"322",1,7,61,4e+05,0,0,0,0,0,0,1,1,7,5,7
"323",2,7,53,4e+05,0,0,0,0,0,0,1,1,9,7,7
"324",1,7,57,4e+05,0,0,1,0,0,0,0,1,9,5,3
"325",1,7,41,6e+05,0,0,0,0,0,0,1,1,9,5,7
"326",2,7,39,8e+05,0,0,0,0,0,0,1,1,13,4,7
"327",2,7,60,5e+05,0,0,0,0,0,0,1,1,7,2,7
"328",1,7,62,4e+05,0,0,0,0,0,0,1,1,7,5,7
"329",2,7,30,2e+05,0,0,0,0,0,0,1,1,9,5,7
"330",2,7,52,8e+05,0,0,0,0,0,0,1,1,13,5,7
"331",1,7,53,550000,0,0,0,0,0,0,1,1,11,5,7
"332",2,7,58,1e+05,0,0,0,0,0,0,1,1,7,7,7
"333",1,7,56,350000,0,0,0,0,1,0,0,1,7,5,5
"334",2,7,39,6e+05,0,0,0,0,0,1,0,1,7,5,6
"335",1,7,69,2e+05,1,0,0,0,0,0,0,1,8,5,1
"336",2,7,46,80000,0,0,0,0,0,0,1,1,7,2,7
"337",2,7,28,450000,0,0,0,0,0,0,1,1,9,5,7
"338",1,7,36,650000,0,0,0,0,0,0,1,1,13,2,7
"339",2,7,56,4e+05,0,0,0,0,0,1,0,1,1,5,6
"340",1,7,78,350000,1,0,0,0,0,0,0,1,6,5,1
"341",2,7,29,499691.966803432,0,0,0,0,0,0,1,1,9,2,7
"342",1,7,66,320000,0,0,0,0,0,0,1,1,9,2,7
"343",1,7,40,4e+05,0,0,0,0,0,1,0,1,9,5,6
"344",2,7,38,1e+05,0,0,0,0,0,0,1,1,9,2,7
"345",1,7,42,650000,0,0,0,0,0,0,1,1,11,5,7
"346",1,7,64,470000,0,0,0,0,1,0,0,1,12,5,5
"347",1,7,33,250000,0,0,0,0,0,0,1,2,9,2,7
"348",2,7,26,380000,0,0,0,0,0,0,1,2,9,5,7
"349",1,7,61,430000,0,0,0,0,0,0,1,2,7,5,7
"350",1,7,35,8e+05,0,0,0,0,0,0,1,2,12,5,7
"351",1,7,30,480000,0,0,0,0,0,0,1,2,11,5,7
"352",1,7,55,390000,0,0,0,0,0,0,1,2,7,5,7
"353",2,7,53,380000,0,0,0,0,0,0,1,2,9,5,7
"354",1,7,56,450000,0,0,0,0,0,0,1,2,7,5,7
"355",2,7,46,460000,0,0,0,0,0,0,1,2,11,3,7
"356",2,7,52,120000,0,0,0,0,0,0,1,2,7,2,7
"357",1,7,49,450000,0,0,0,0,0,0,1,2,7,5,7
"358",2,7,24,6e+05,0,0,0,0,0,0,1,2,13,3,7
"359",1,7,53,2e+06,0,0,0,0,0,0,1,2,14,4,7
"360",1,7,60,4e+05,0,0,0,0,0,0,1,2,7,5,7
"361",1,7,58,450000,0,0,0,0,0,0,1,1,9,3,7
"362",2,7,47,480000,0,0,0,0,0,0,1,1,12,3,7
"363",1,7,48,850000,0,0,0,0,0,1,0,1,11,5,6
"364",1,7,72,499691.966803432,0,0,0,0,0,0,1,1,6,1,7
"365",2,7,28,380000,0,0,0,0,0,0,1,1,12,3,7
"366",1,7,49,6e+05,0,0,0,0,0,0,1,1,9,3,7
"367",2,7,57,355000,0,0,0,0,0,0,1,1,9,3,7
"368",2,7,31,160000,0,0,0,1,0,0,0,1,1,3,4
"369",2,7,64,373000,0,0,0,0,0,0,1,1,9,5,7
"370",1,7,34,1100000,0,0,0,0,0,0,1,1,9,5,7
"371",2,7,29,7e+05,0,0,0,0,0,0,1,1,11,5,7
"372",1,7,56,250000,0,0,0,0,0,0,1,1,5,5,7
"373",1,7,39,850000,0,0,0,0,0,0,1,1,13,3,7
"374",1,7,40,750000,1,0,0,0,0,0,0,1,9,5,1
"375",2,7,45,4e+05,0,0,0,0,0,0,1,1,7,4,7
"376",1,7,27,3e+05,0,0,0,0,0,0,1,1,9,5,7
"377",2,7,35,1e+06,0,0,0,0,0,0,1,1,9,5,7
"378",1,7,62,4e+05,0,0,0,0,0,0,1,2,7,5,7
"379",2,7,65,2e+05,1,0,0,0,0,0,0,2,7,5,1
"380",1,7,49,4e+05,1,0,0,0,0,0,0,2,7,5,1
"381",1,7,60,4e+05,0,0,0,0,0,0,1,2,7,5,7
"382",2,7,65,1600000,0,0,0,0,0,0,1,1,9,3,7
"383",1,7,48,8e+05,0,0,0,0,0,0,1,1,9,2,7
"384",2,7,36,540000,0,0,0,0,0,0,1,1,12,3,7
"385",2,7,53,2e+05,0,0,0,0,0,0,1,1,7,5,7
"386",1,7,51,180000,0,0,0,0,0,0,1,1,7,5,7
"387",2,7,24,180000,0,0,0,0,0,0,1,1,11,5,7
"388",2,7,41,4e+05,0,0,0,0,0,0,1,1,12,3,7
