"","sexo","region","edad","yoprcor","s31c1","zona","e6a","o15","yoprcoripc"
"396",1,7,48,8e+05,7,1,13,2,1104816.02500355
"397",2,7,49,3e+05,7,1,9,2,414306.009376332
"398",1,7,30,2e+05,7,1,14,2,276204.006250888
"399",1,7,23,250000,7,1,15,2,345255.00781361
"400",1,7,24,3e+05,7,1,15,3,414306.009376332
"401",1,7,61,1e+06,7,1,13,5,1381020.03125444
"402",1,7,69,2e+06,7,1,15,4,2762040.06250888
"403",2,7,70,245000,7,1,7,5,338349.907657338
"404",1,7,52,245000,7,1,9,5,338349.907657338
"405",1,7,47,1.5e+07,7,1,15,1,20715300.4688166
"406",2,7,45,3e+05,7,1,15,2,414306.009376332
"407",1,7,57,1e+06,7,1,15,1,1381020.03125444
"408",2,7,49,2e+05,7,1,13,5,276204.006250888
"409",1,7,70,3e+06,7,1,15,1,4143060.09376332
"410",2,7,69,1e+06,7,1,13,1,1381020.03125444
"411",1,7,38,5e+05,7,1,15,5,690510.01562722
"412",1,7,56,240000,7,1,9,5,331444.807501065
"413",1,7,63,240000,7,1,1,5,331444.807501065
"414",1,7,27,3e+05,7,1,7,5,414306.009376332
"415",1,7,59,350000,7,1,9,5,483357.010939054
"416",1,7,59,5e+05,7,1,11,1,690510.01562722
"417",1,7,50,245000,7,1,7,5,338349.907657338
"418",2,7,55,160000,7,1,11,5,220963.20500071
"419",1,7,41,450000,7,1,11,5,621459.014064498
"420",1,7,53,114000,1,1,7,5,157436.283563006
"421",2,7,30,210000,7,1,11,5,290014.206563432
"422",2,7,38,110000,7,1,7,2,151912.203437988
"423",1,7,51,240000,7,1,11,2,331444.807501065
"424",2,7,30,240000,7,1,12,5,331444.807501065
"425",2,7,52,95300,3,1,11,7,131611.208978548
"426",2,7,25,2e+05,7,1,15,3,276204.006250888
"427",2,7,50,331682.693154403,7,1,7,2,458060.44326665
"428",1,7,29,284849,7,1,11,2,393382.174882796
"429",1,7,60,245000,7,1,9,5,338349.907657338
"430",2,7,55,225000,7,1,9,5,310729.507032249
"431",2,7,27,230000,7,1,9,5,317634.607188521
"432",1,7,53,250000,7,1,7,5,345255.00781361
"433",2,7,44,250000,7,1,12,5,345255.00781361
"434",1,7,25,340000,7,1,11,5,469546.810626509
"435",2,7,29,170000,7,1,13,3,234773.405313255
"436",1,7,53,241000,7,1,9,5,332825.82753232
"437",2,7,26,1e+05,7,1,12,2,138102.003125444
"438",1,7,23,240000,7,1,9,5,331444.807501065
"439",1,7,55,170000,7,1,9,2,234773.405313255
"440",2,7,52,331682.693154403,7,1,7,9,458060.44326665
"441",1,7,44,350000,7,1,9,5,483357.010939054
"442",2,7,25,180000,7,1,13,5,248583.605625799
"443",1,7,65,350000,7,1,7,5,483357.010939054
"444",1,7,28,3e+05,7,1,11,5,414306.009376332
"445",1,7,53,3e+05,7,1,9,4,414306.009376332
"446",1,7,39,320000,7,1,9,5,441926.410001421
"447",2,7,37,160000,7,1,9,5,220963.20500071
"448",1,7,66,2e+05,7,1,6,2,276204.006250888
"449",1,7,49,1e+05,7,1,7,2,138102.003125444
"450",2,7,43,2e+05,7,1,11,2,276204.006250888
"451",1,7,38,297000,7,1,7,5,410162.949282568
"452",2,7,37,270000,7,1,9,5,372875.408438699
"453",2,7,54,120000,7,1,9,7,165722.403750533
"454",1,7,31,260000,5,1,11,5,359065.208126154
"455",2,7,28,243000,7,1,11,5,335587.867594829
"456",1,7,57,240000,7,1,7,5,331444.807501065
"457",2,7,56,240000,7,1,9,5,331444.807501065
"458",2,7,50,30000,7,1,9,2,41430.6009376332
"459",2,7,26,260000,7,1,11,5,359065.208126154
"460",1,7,56,4e+05,7,1,9,5,552408.012501776
"461",1,7,27,5e+05,7,1,15,3,690510.01562722
"462",1,7,60,4e+05,7,1,9,4,552408.012501776
"463",2,7,45,120000,7,1,11,2,165722.403750533
"464",1,7,38,3e+05,7,1,9,5,414306.009376332
"465",2,7,41,10000,7,1,9,7,13810.2003125444
"466",1,7,21,360000,7,1,9,5,497167.211251598
"467",1,7,54,290000,7,1,9,5,400495.809063787
"468",1,7,53,230000,7,1,11,5,317634.607188521
"469",2,7,52,250000,7,1,7,5,345255.00781361
