"","sexo","region","edad","yoprcor","s31a1","zona","e6a","o15","yoprcoripc"
"252",2,7,63,298835,7,1,11,5,392935.89003111
"253",1,7,52,381237.006102589,1,1,11,5,501285.667026007
"254",2,7,21,140000,7,1,12,5,184084.94521845
"255",1,7,23,130000,7,1,12,5,170936.020559989
"256",2,7,45,140000,7,1,9,7,184084.94521845
"257",2,7,26,270000,7,1,14,5,355020.965778439
"258",1,7,25,272000,7,1,15,5,357650.750710131
"259",2,7,22,224000,7,1,13,5,294535.91234952
"260",1,7,24,381237.006102589,7,1,13,5,501285.667026007
"261",2,7,23,270000,7,1,14,5,355020.965778439
"262",1,7,34,280000,7,1,14,5,368169.8904369
"263",1,7,60,3e+05,7,1,11,5,394467.739753821
"264",1,7,45,801000,7,1,9,5,1053228.8651427
"265",1,7,47,460000,7,1,13,5,604850.534289192
"266",2,7,33,4e+05,7,1,15,3,525956.986338428
"267",1,7,64,3e+05,7,1,6,5,394467.739753821
"268",1,7,30,270000,7,1,12,5,355020.965778439
"269",2,7,54,180000,7,1,7,6,236680.643852293
"270",1,7,43,430452,7,1,9,5,565998.091708373
"271",1,7,31,390000,7,1,14,5,512808.061679967
"272",2,7,40,270000,7,1,9,7,355020.965778439
"273",1,7,66,3e+05,7,1,11,2,394467.739753821
"274",1,7,46,4e+05,7,1,14,5,525956.986338428
"275",2,7,67,250000,7,1,15,3,328723.116461518
"276",2,7,39,310000,7,1,9,3,407616.664412282
"277",1,7,66,250000,7,1,11,5,328723.116461518
"278",1,7,71,4e+05,7,1,7,2,525956.986338428
"279",1,7,54,384053,7,1,11,3,504988.396185581
"280",1,7,70,120769,7,1,7,2,158798.248207764
"281",2,7,64,188229,7,1,7,2,247500.89395374
"282",1,7,55,50000,7,1,9,2,65744.6232923035
"283",1,7,58,320000,7,1,9,5,420765.589070742
"284",1,7,31,4e+05,7,1,11,4,525956.986338428
"285",2,7,38,3e+05,7,1,11,5,394467.739753821
"286",1,7,52,951345,7,1,15,4,1250916.37292033
"287",2,7,53,870909,7,1,13,4,1145151.68253754
"288",1,7,66,7e+05,7,1,14,2,920424.726092249
"289",2,7,27,780000,7,1,15,3,1025616.12335993
"290",1,7,49,3e+05,7,1,15,5,394467.739753821
"291",1,7,49,370000,7,1,11,5,486510.212363046
"292",2,7,26,1300000,7,1,15,4,1709360.20559989
"293",1,7,52,2e+05,7,1,11,4,262978.493169214
"294",2,7,50,350000,7,1,11,4,460212.363046125
"295",1,7,51,450000,7,1,9,4,591701.609630732
"296",2,7,40,380000,7,1,12,4,499659.137021507
"297",1,7,40,4e+05,7,1,11,2,525956.986338428
"298",2,7,37,4e+05,7,1,11,5,525956.986338428
"299",1,7,60,2e+05,7,1,10,2,262978.493169214
"300",2,7,57,230000,7,1,9,7,302425.267144596
"301",2,7,58,380000,7,1,9,2,499659.137021507
"302",2,7,58,238176,7,1,11,7,313175.827945354
"303",2,7,28,195000,6,1,11,5,256404.030839984
"304",2,7,52,3e+05,7,1,9,2,394467.739753821
"305",1,7,24,270000,7,1,14,5,355020.965778439
"306",1,7,47,5e+05,7,1,9,5,657446.232923035
"307",1,7,31,450000,7,1,15,5,591701.609630732
"308",2,7,51,250000,7,1,9,7,328723.116461518
